season,total_runs,runs_per_over
2008,1.6737900691389063,10.042740414833437
2009,1.507909604519774,9.047457627118643
2010,1.61395101171459,9.68370607028754
2011,1.5450623202301055,9.270373921380633
2012,1.611844908393694,9.671069450362165
2013,1.6208209902666102,9.724925941599661
2014,1.687060097455333,10.122360584731997
2015,1.6460078168620882,9.87604690117253
2016,1.6816868861929521,10.090121317157713
2017,1.6078098471986417,9.64685908319185
2018,1.7247899159663866,10.34873949579832
2019,1.7399477806788513,10.439686684073108
2020,1.7231320368474923,10.338792221084955
2021,1.5927672955974843,9.556603773584905
2022,1.7426195426195425,10.455717255717255
2023,1.7136963696369636,10.282178217821782
2024,1.8115419296663662,10.869251577998197
