batter,regular_avg,knockout_avg,diff
TM Head,33.54545454545455,11.333333333333334,22.21212121212121
ML Hayden,36.41379310344828,17.0,19.413793103448278
Abhishek Sharma,23.448275862068964,5.666666666666667,17.781609195402297
EJG Morgan,19.661971830985916,3.0,16.661971830985916
N Rana,26.822916666666668,12.2,14.622916666666669
G Gambhir,28.6993006993007,14.125,14.5743006993007
CA Lynn,32.973684210526315,19.0,13.973684210526315
D Padikkal,25.389830508474578,12.2,13.189830508474579
S Dhawan,31.612745098039216,18.823529411764707,12.78921568627451
GJ Maxwell,22.34710743801653,9.571428571428571,12.775678866587958
